trial_id,position,was_clicked,n_fixations,total_dwell_ms,click_pos,entry_t,exit_t,min_dist,mean_dist,final_dist,retreat_dist,dwell_in_proximity_ms,mean_approach_velocity,max_approach_velocity,direction_changes,frac_decreasing,etype,four_class_label
p044-b5-t6,3,False,6,1110.0,0,1678288748745,1678288775004,127.49250088847609,304.77772996179215,283.54608430887345,156.05358342039736,46.0,0,0,0,0.2,organic,not_approached
p044-b5-t6,4,False,2,274.0,0,1678288749013,1678288749161,380.37568911296154,418.4470887917913,380.37568911296154,0.0,0,0,0,0,0.5,organic,not_approached
p044-b5-t6,6,False,4,621.0,0,1678288749302,1678288750045,377.0329588656752,514.9050162835279,588.6009255887095,211.56796672303432,0,0,0,0,0.6666666666666666,organic,not_approached
p044-b5-t6,5,False,1,208.0,0,1678288749637,1678288749637,263.5251401096767,263.5251401096767,263.5251401096767,0,0,0,0,0,0.5,organic,not_approached
p044-b5-t6,7,False,2,642.0,0,1678288750326,1678288750701,621.0698660752369,621.7968805994751,622.5238951237133,1.4540290484764,0,20.153769841269593,20.446428571428328,0,0.5,organic,not_approached
p044-b5-t6,2,False,6,1309.0,0,1678288773095,1678288774689,103.45554069847849,224.10948329028133,103.45554069847849,0.0,86.0,67.5,67.5,0,0.6,organic,not_approached
p044-b5-t7,0,True,48,8557.0,0,1678288790478,1678288810393,8.449907551050966,146.06457161754335,58.82176467941097,50.371857128360006,7381.0,7.192352533732159,108.42105263157897,2,0.6170212765957447,dd_top,clicked
p044-b5-t7,1,False,25,5627.0,0,1678288792561,1678288807847,32.20636583037583,160.81841333194924,92.1960471555647,59.98968132518887,1807.0,-5.2425619553377105,162.5,4,0.5833333333333334,organic,deferred
p044-b5-t7,2,False,3,737.0,0,1678288794048,1678288794805,238.54594856077503,287.41657407209004,335.0363371669142,96.49038860613919,0,0,0,0,0.0,organic,not_approached
p044-b5-t7,3,False,3,909.0,0,1678288795348,1678288795938,477.0644555776026,487.137528093896,495.30541871921184,18.240963141609257,0,-10.104166666666572,-5.833333333333144,0,0.0,organic,not_approached
p044-b5-t8,0,False,35,5702.0,2,1678288823394,1678288855781,12.474056121589618,306.3844906158615,422.3091284829159,409.8350723613263,226.0,128.61704943179876,341.2394184762604,1,0.5588235294117647,dd_top,deferred
p044-b5-t8,1,False,37,8585.0,2,1678288824888,1678288855218,47.12566312530785,170.80353033005034,208.73428084528905,161.6086177199812,2788.0,-9.954985153055015,146.77556818181813,6,0.5277777777777778,organic,deferred
p044-b5-t8,2,True,7,1662.0,2,1678288826367,1678288855057,171.81385275931623,348.91230535356937,195.5019181491578,23.68806538984157,828.0,17.5,35.0,1,0.5,organic,clicked
p044-b5-t8,3,False,3,600.0,2,1678288827539,1678288841379,201.6684528122678,359.22336531354705,546.3272194540459,344.65876664177813,0,687.8409090909088,687.8409090909088,0,0.5,organic,not_approached
p044-b5-t8,4,False,7,1622.0,2,1678288828283,1678288841077,58.54970376345918,137.84990308784748,456.5935413635547,398.04383760009557,1522.0,0,0,0,0.5,organic,deferred
p044-b5-t8,5,False,2,683.0,2,1678288830005,1678288840970,171.26028476213696,276.71917002452824,382.1780552869195,210.91777052478255,0,0,0,0,0.5,organic,not_approached
p044-b5-t8,6,False,5,1124.0,2,1678288830748,1678288840595,85.08639400306281,329.80137178193564,305.22397632780536,220.13758232474254,536.0,0,0,0,0.5,organic,deferred
p044-b5-t8,8,False,7,1424.0,2,1678288831104,1678288836958,148.9051100101091,204.3631608991896,272.44517245474566,123.54006244463656,0,0,0,0,0.5,native_ad,not_approached
p044-b5-t8,7,False,31,6795.0,2,1678288831894,1678288840367,24.3321217303881,337.37121469450113,212.22658085372865,187.89445912334054,848.0,0,0,0,0.5333333333333333,native_ad,deferred
p044-b5-t8,9,False,1,382.0,2,1678288834225,1678288834225,76.35431815157862,76.35431815157862,76.35431815157862,0,382.0,0,0,0,0.5,organic,evaluated_rejected
p044-b6-t1,0,False,6,878.0,8,1678289043588,1678289055525,159.31415505221122,395.99670039882056,305.6461583107535,146.33200325854227,717.0,0,0,0,0.4,dd_top,not_approached
